year,semi_final,semi_draw_position,final_draw_position,country,style,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2023,1,1,20,Norway,Pop,216.0,52.0,36.0,11.0,5.0,268.0,6.0,102.0,,102.0
2023,1,2,,Malta,Pop,,,,,,,15.0,3.0,,3.0
2023,1,3,5,Serbia,Pop,16.0,14.0,4.0,6.0,24.0,30.0,10.0,37.0,,37.0
2023,1,4,,Latvia,Rock,,,,,,,11.0,34.0,,34.0
2023,1,5,2,Portugal,Pop,16.0,43.0,3.0,9.0,23.0,59.0,9.0,74.0,,74.0
2023,1,6,,Ireland,Rock,,,,,,,12.0,10.0,,10.0
2023,1,7,25,Croatia,Pop,112.0,11.0,20.0,2.0,13.0,123.0,8.0,76.0,,76.0
2023,1,8,3,Switzerland,Ballad,31.0,61.0,10.0,15.0,20.0,92.0,7.0,97.0,,97.0
2023,1,9,23,Israel,Pop,185.0,177.0,30.0,25.0,3.0,362.0,3.0,127.0,,127.0
2023,1,10,18,Moldova,Traditional,76.0,20.0,17.0,4.0,18.0,96.0,5.0,109.0,,109.0
2023,1,11,9,Sweden,Pop,243.0,340.0,36.0,36.0,1.0,583.0,2.0,135.0,,135.0
2023,1,12,,Azerbaijan,Pop,,,,,,,14.0,4.0,,4.0
2023,1,13,14,Czech Republic,Pop,35.0,94.0,12.0,18.0,10.0,129.0,4.0,110.0,,110.0
2023,1,14,,Netherlands,Ballad,,,,,,,13.0,7.0,,7.0
2023,1,15,13,Finland,Pop,376.0,150.0,37.0,22.0,2.0,526.0,1.0,177.0,,177.0
2023,2,1,,Denmark,Pop,,,,,,,14.0,6.0,,6.0
2023,2,2,17,Armenia,Ballad,53.0,69.0,10.0,15.0,14.0,122.0,6.0,99.0,,99.0
2023,2,3,,Romania,Pop,,,,,,,15.0,0.0,,0.0
2023,2,4,12,Estonia,Ballad,22.0,146.0,4.0,22.0,8.0,168.0,10.0,74.0,,74.0
2023,2,5,16,Belgium,Pop,55.0,127.0,13.0,22.0,7.0,182.0,8.0,90.0,,90.0
2023,2,6,7,Cyprus,Ballad,58.0,68.0,11.0,17.0,12.0,126.0,7.0,94.0,,94.0
2023,2,7,,Iceland,Pop,,,,,,,11.0,44.0,,44.0
2023,2,8,,Greece,Pop,,,,,,,13.0,14.0,,14.0
2023,2,9,4,Poland,Pop,81.0,12.0,17.0,5.0,19.0,93.0,3.0,124.0,,124.0
2023,2,10,24,Slovenia,Rock,45.0,33.0,11.0,6.0,21.0,78.0,5.0,103.0,,103.0
