year,final_draw_position,country,style,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points
2023,20,Norway,Pop,216.0,52.0,36.0,11.0,5.0,268.0
2023,5,Serbia,Pop,16.0,14.0,4.0,6.0,24.0,30.0
2023,2,Portugal,Pop,16.0,43.0,3.0,9.0,23.0,59.0
2023,25,Croatia,Pop,112.0,11.0,20.0,2.0,13.0,123.0
2023,3,Switzerland,Ballad,31.0,61.0,10.0,15.0,20.0,92.0
2023,23,Israel,Pop,185.0,177.0,30.0,25.0,3.0,362.0
2023,18,Moldova,Traditional,76.0,20.0,17.0,4.0,18.0,96.0
2023,9,Sweden,Pop,243.0,340.0,36.0,36.0,1.0,583.0
2023,14,Czech Republic,Pop,35.0,94.0,12.0,18.0,10.0,129.0
2023,13,Finland,Pop,376.0,150.0,37.0,22.0,2.0,526.0
2023,17,Armenia,Ballad,53.0,69.0,10.0,15.0,14.0,122.0
2023,12,Estonia,Ballad,22.0,146.0,4.0,22.0,8.0,168.0
2023,16,Belgium,Pop,55.0,127.0,13.0,22.0,7.0,182.0
2023,7,Cyprus,Ballad,58.0,68.0,11.0,17.0,12.0,126.0
2023,4,Poland,Pop,81.0,12.0,17.0,5.0,19.0,93.0
2023,24,Slovenia,Rock,45.0,33.0,11.0,6.0,21.0,78.0
2023,1,Austria,Pop,16.0,104.0,4.0,18.0,15.0,120.0
2023,10,Albania,Traditional,59.0,17.0,10.0,4.0,22.0,76.0
2023,22,Lithuania,Ballad,46.0,81.0,8.0,15.0,11.0,127.0
2023,15,Australia,Rock,21.0,130.0,6.0,23.0,9.0,151.0
2023,6,France,Ballad,50.0,54.0,17.0,10.0,16.0,104.0
2023,8,Spain,Traditional,5.0,95.0,2.0,21.0,17.0,100.0
2023,11,Italy,Ballad,174.0,176.0,29.0,27.0,4.0,350.0
2023,19,Ukraine,Pop,189.0,54.0,28.0,10.0,6.0,243.0
2023,21,Germany,Rock,15.0,3.0,3.0,2.0,26.0,18.0
2023,26,United Kingdom,Pop,9.0,15.0,2.0,5.0,25.0,24.0
2022,14,Lithuania,Ballad,93.0,35.0,21.0,10.0,14.0,128.0
2022,5,Switzerland,Ballad,0.0,78.0,0.0,21.0,17.0,78.0
2022,12,Ukraine,Traditional,439.0,192.0,39.0,26.0,1.0,631.0
2022,11,Netherlands,Ballad,42.0,129.0,12.0,25.0,11.0,171.0
2022,19,Moldova,Traditional,239.0,14.0,35.0,4.0,7.0,253.0
2022,3,Portugal,Ballad,36.0,171.0,9.0,29.0,9.0,207.0
2022,18,Iceland,Traditional,10.0,10.0,2.0,4.0,23.0,20.0
2022,17,Greece,Ballad,57.0,158.0,9.0,26.0,8.0,215.0
2022,7,Norway,Pop,146.0,36.0,32.0,10.0,10.0,182.0
2022,8,Armenia,Ballad,21.0,40.0,4.0,10.0,20.0,61.0
2022,4,Finland,Rock,26.0,12.0,8.0,3.0,21.0,38.0
2022,24,Serbia,Traditional,225.0,87.0,34.0,15.0,5.0,312.0
2022,15,Azerbaijan,Ballad,3.0,103.0,1.0,19.0,16.0,106.0
2022,21,Australia,Ballad,2.0,123.0,1.0,23.0,15.0,125.0
2022,25,Estonia,Pop,98.0,43.0,19.0,8.0,13.0,141.0
2022,2,Romania,Pop,53.0,12.0,12.0,3.0,18.0,65.0
2022,23,Poland,Ballad,105.0,46.0,22.0,9.0,12.0,151.0
2022,16,Belgium,Pop,5.0,59.0,2.0,13.0,19.0,64.0
2022,20,Sweden,Ballad,180.0,258.0,33.0,33.0,4.0,438.0
2022,1,Czech Republic,Dance,5.0,33.0,1.0,11.0,22.0,38.0
2022,9,Italy,Ballad,110.0,158.0,23.0,26.0,6.0,268.0
2022,10,Spain,Pop,228.0,231.0,38.0,34.0,3.0,459.0
2022,13,Germany,Ballad,6.0,0.0,3.0,0.0,25.0,6.0
2022,22,United Kingdom,Pop,183.0,283.0,34.0,35.0,2.0,466.0
2022,6,France,Traditional,8.0,9.0,6.0,3.0,24.0,17.0
2021,18,Lithuania,Dance,165.0,55.0,27.0,12.0,8.0,220.0
2021,5,Russia,Traditional,100.0,104.0,22.0,21.0,9.0,204.0
2021,25,Sweden,Pop,63.0,46.0,18.0,10.0,14.0,109.0
2021,1,Cyprus,Pop,44.0,50.0,7.0,11.0,16.0,94.0
2021,22,Norway,Pop,60.0,15.0,16.0,5.0,18.0,75.0
2021,4,Belgium,Ballad,3.0,71.0,2.0,17.0,19.0,74.0
2021,3,Israel,Pop,20.0,73.0,4.0,17.0,17.0,93.0
2021,21,Azerbaijan,Pop,33.0,32.0,12.0,9.0,20.0,65.0
2021,19,Ukraine,Traditional,267.0,97.0,38.0,19.0,5.0,364.0
2021,6,Malta,Pop,47.0,208.0,15.0,35.0,7.0,255.0
2021,10,Greece,Pop,79.0,91.0,11.0,15.0,10.0,170.0
2021,14,Moldova,Pop,62.0,53.0,11.0,6.0,13.0,115.0
2021,8,Serbia,Pop,82.0,20.0,12.0,3.0,15.0,102.0
2021,2,Albania,Ballad,35.0,22.0,5.0,4.0,21.0,57.0
